anio,region_id,region_display,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2011,08,Biobío,cuentas_corrientes,stock,unidades,174062.83333333334,número de cuentas de personas naturales,conteo,total
2012,08,Biobío,cuentas_corrientes,stock,unidades,190128.75,número de cuentas de personas naturales,conteo,total
2013,08,Biobío,cuentas_corrientes,stock,unidades,206388.83333333334,número de cuentas de personas naturales,conteo,total
2014,08,Biobío,cuentas_corrientes,stock,unidades,222646.33333333334,número de cuentas de personas naturales,conteo,total
2015,08,Biobío,cuentas_corrientes,stock,unidades,240221.41666666666,número de cuentas de personas naturales,conteo,total
2016,08,Biobío,cuentas_corrientes,stock,unidades,256858.08333333334,número de cuentas de personas naturales,conteo,total
2017,08,Biobío,cuentas_corrientes,stock,unidades,273731.5833333333,número de cuentas de personas naturales,conteo,total
2018,08,Biobío,cuentas_corrientes,stock,unidades,280395.0,número de cuentas de personas naturales,conteo,total
2019,08,Biobío,cuentas_corrientes,stock,unidades,264548.4166666667,número de cuentas de personas naturales,conteo,total
2020,08,Biobío,cuentas_corrientes,stock,unidades,275566.5,número de cuentas de personas naturales,conteo,total
2021,08,Biobío,cuentas_corrientes,stock,unidades,291014.1666666667,número de cuentas de personas naturales,conteo,total
2022,08,Biobío,cuentas_corrientes,stock,unidades,295405.5833333333,número de cuentas de personas naturales,conteo,total
2023,08,Biobío,cuentas_corrientes,stock,unidades,318036.75,número de cuentas de personas naturales,conteo,total
2024,08,Biobío,cuentas_corrientes,stock,unidades,339315.8333333333,número de cuentas de personas naturales,conteo,total
2025,08,Biobío,cuentas_corrientes,stock,unidades,341562.25,número de cuentas de personas naturales,conteo,total
2009,09,La Araucanía,cuentas_corrientes,stock,unidades,64040.0,número de cuentas de personas naturales,conteo,total
2010,09,La Araucanía,cuentas_corrientes,stock,unidades,66680.25,número de cuentas de personas naturales,conteo,total
2011,09,La Araucanía,cuentas_corrientes,stock,unidades,70921.75,número de cuentas de personas naturales,conteo,total
2012,09,La Araucanía,cuentas_corrientes,stock,unidades,75804.33333333333,número de cuentas de personas naturales,conteo,total
2013,09,La Araucanía,cuentas_corrientes,stock,unidades,81212.41666666667,número de cuentas de personas naturales,conteo,total
2014,09,La Araucanía,cuentas_corrientes,stock,unidades,87508.66666666667,número de cuentas de personas naturales,conteo,total
2015,09,La Araucanía,cuentas_corrientes,stock,unidades,94737.83333333333,número de cuentas de personas naturales,conteo,total
2016,09,La Araucanía,cuentas_corrientes,stock,unidades,101647.58333333333,número de cuentas de personas naturales,conteo,total
2017,09,La Araucanía,cuentas_corrientes,stock,unidades,108853.75,número de cuentas de personas naturales,conteo,total
2018,09,La Araucanía,cuentas_corrientes,stock,unidades,117079.33333333333,número de cuentas de personas naturales,conteo,total
2019,09,La Araucanía,cuentas_corrientes,stock,unidades,127111.5,número de cuentas de personas naturales,conteo,total
2020,09,La Araucanía,cuentas_corrientes,stock,unidades,133097.41666666666,número de cuentas de personas naturales,conteo,total
2021,09,La Araucanía,cuentas_corrientes,stock,unidades,140580.0,número de cuentas de personas naturales,conteo,total
2022,09,La Araucanía,cuentas_corrientes,stock,unidades,141672.25,número de cuentas de personas naturales,conteo,total
